time,exp1_s1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.201005025125628,1
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,2
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,1
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,1
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,1
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
0.201005025125628,0
